TeamId;TrikotNr;Name;Geburtsdatum;Minuten;Tore;Gelbe;GelbRot;Rote
100;40;Jann-Fiete Arp;06.01.2000;731;2;1;0;0
100;39;Marco Drawz;31.03.1999;0;0;0;0;0
100;42;Tobias-Mbunjiro Knost;08.05.2000;0;0;0;0;0
100;26;Törles Knöll;13.09.1997;17;0;0;0;0
100;23;Sejad Salihovic;08.10.1984;352;1;1;0;0
100;43;Tatsuya Ito;26.06.1997;424;0;1;0;0
100;41;Aaron Opoku;28.03.1999;0;0;0;0;0
100;45;Mortiz-Broni Kwarteng;28.04.1998;0;0;0;0;0
100;44;Patric Pfeiffer;20.08.1999;0;0;0;0;0
100;46;Stephan Kofi Ambrosius;18.12.1998;0;0;0;0;0
100;47;Joshua Mamadou Karaboue Vagnoman;11.12.2000;20;0;0;0;0
55;3;Miiko Martín Albornoz Inola;30.11.1990;235;0;1;0;0
55;20;Salif Sané;25.08.1990;2160;2;5;0;0
55;26;Kenan Karaman;05.03.1994;644;0;2;0;0
55;6;Marvin Bakalorz;13.09.1989;1463;0;3;0;0
55;10;Sebastian Maier;18.09.1993;183;0;0;0;0
55;19;Florian Hübner;01.03.1991;325;0;2;0;0
55;1;Philipp Tschauner;03.11.1985;2160;0;1;0;0
55;25;Oliver Sorg;29.05.1990;1162;0;2;0;0
55;33;Fynn Arkenberg;04.03.1996;0;0;0;0;0
55;37;Noah Joel Sarenren Bazee;21.08.1996;52;0;1;0;0
55;18;Iver Tobias Rorvik Fossum;15.07.1996;1009;1;0;0;0
55;31;Waldemar Anton;20.07.1996;2160;1;1;0;0
55;11;Felix Klaus;13.09.1992;1655;3;4;0;0
55;35;Charlison Benschop;21.08.1989;181;1;0;0;0
55;8;Manuel Schmiedebach;05.12.1988;163;0;1;0;0
55;5;Felipe Trevizan Martins;15.05.1987;458;0;0;0;0
55;7;Edgar Prib;15.12.1989;0;0;0;0;0
55;14;Martin Harnik;10.06.1987;1373;6;2;0;0
55;15;Timo Hübers;20.07.1996;0;0;0;0;0
55;23;Michael Esser;22.11.1987;180;0;0;0;0
55;4;Julian Korb;21.03.1992;1976;1;7;0;0
55;27;Pirmin Schwegler;09.03.1987;1795;0;7;0;0
55;22;Matthias Ostrzolek;05.06.1990;2110;0;4;0;0
55;13;Ihlas Bebou;23.04.1994;1657;5;3;0;0
55;24;Niclas Füllkrug;09.02.1993;1749;10;1;0;0
55;29;Mete Kaan Demir;13.05.1998;0;0;0;0;0
55;21;Lars Ritzka;07.05.1998;0;0;0;0;0
55;38;Tom Baller;02.08.1998;0;0;0;0;0
55;16;Yousef Emghanes;19.01.1998;0;0;0;0;0
55;40;Linton Maina;23.06.1999;0;0;0;0;0
55;9;Jonathas Cristian de Jesus;06.03.1989;481;3;2;0;0
55;2;Josip Elez;25.04.1994;416;0;1;0;0
55;30;Marlon Sündermann;16.05.1998;0;0;0;0;0
54;7;Alexander Esswein;25.03.1990;599;1;0;0;0
54;5;Niklas Stark;14.04.1995;1760;1;2;0;0
54;23;Mitchell-Elijah Weiser;21.04.1994;1666;1;2;0;0
54;18;Sinan Kurt;23.07.1996;0;0;0;0;0
54;36;Nico Beyer;22.09.1996;0;0;0;0;0
54;19;Vedad Ibiševic;06.08.1984;1101;4;4;0;1
54;6;Vladimír Darida;08.08.1990;927;0;2;0;0
54;8;Salomon Armand Magloire Kalou;05.08.1985;1707;9;0;0;0
54;3;Per Ciljan Skjelbred;16.06.1987;1817;0;2;0;0
54;16;Julian Schieber;13.02.1989;0;0;0;0;0
54;21;Marvin Plattenhardt;26.01.1992;2340;0;4;0;0
54;1;Thomas Kraft;22.07.1988;270;0;0;0;0
54;22;Rune Almenning Jarstein;29.09.1984;2070;0;1;0;0
54;2;Peter Pekarík;30.10.1986;1079;0;1;0;0
54;28;Fabian Lustenberger;02.05.1988;1152;0;1;0;0
54;17;Maximilian Mittelstädt;18.03.1997;253;0;0;0;0
54;10;Ondrej Duda;05.12.1994;603;1;2;0;0
54;4;Karim Rekik;02.12.1994;1585;2;3;0;0
54;33;Jonathan Klinsmann;08.04.1997;0;0;0;0;0
54;27;Davie Selke;20.01.1995;1312;5;1;0;0
54;11;Mathew Allan Leckie;04.02.1991;1364;4;3;0;0
54;30;Julius Kade;20.05.1999;0;0;0;0;0
54;29;Florian Baak;18.03.1999;0;0;0;0;0
